,tec,ts
0,4,3
1,7,2
2,6,8
3,4,6
4,4,2
5,8,2
6,8,4
7,6,7
8,4,8
9,7,0
10,7,3
11,2,6
12,6,8
13,4,3
14,2,3
15,5,6
16,7,4
17,3,8
18,3,3
19,3,4
20,6,8
21,4,5
22,4,7
23,3,2
24,2,8
25,4,7
26,4,5
27,4,7
28,2,7
29,6,6
30,5,5
31,3,8
32,4,4
33,6,3
34,6,6
35,2,6
36,3,6
37,5,3
38,5,5
39,2,5
40,5,4
41,3,10
42,1,7
43,5,2
44,8,6
45,3,0
46,6,4
47,5,6
48,3,4
49,9,6
50,8,6
51,9,4
52,5,3
53,4,6
54,7,5
55,3,6
56,2,6
57,7,0
58,6,6
59,7,8
60,5,2
61,7,2
62,3,4
63,4,6
64,7,8
65,6,5
66,8,8
67,7,6
68,3,6
69,5,3
70,6,7
71,4,6
72,11,4
73,7,6
74,5,5
75,4,2
76,9,5
77,6,6
78,6,5
79,1,5
80,4,4
81,3,4
82,4,8
83,5,6
84,5,3
85,4,0
86,6,3
87,2,7
88,2,3
89,6,5
90,4,7
91,6,11
92,6,3
93,6,5
94,6,7
95,5,4
96,2,2
97,3,8
98,4,7
99,7,4
100,5,1
101,1,3
102,4,3
103,4,8
104,7,3
105,3,2
106,5,5
107,2,2
108,9,8
109,10,4
110,3,5
111,6,2
112,3,5
113,2,4
114,8,5
115,5,2
116,11,4
117,8,6
118,6,6
119,3,4
120,7,3
121,7,4
122,5,8
123,7,6
124,2,6
125,7,9
126,5,3
127,7,3
128,7,2
129,7,3
130,3,9
131,6,4
132,4,10
133,3,2
134,10,9
135,5,5
136,7,5
137,6,8
138,3,7
139,6,5
140,6,3
141,1,7
142,6,6
143,3,7
144,5,6
145,5,6
146,7,4
147,3,2
148,6,4
149,6,4
150,6,9
151,5,2
152,5,4
153,4,4
154,3,5
155,5,4
156,2,1
157,5,3
158,4,6
159,2,4
160,4,5
161,5,4
162,4,6
163,2,4
164,7,5
165,3,4
166,8,6
167,5,9
168,6,4
169,6,4
170,9,6
171,2,3
172,5,5
173,3,5
174,7,4
175,6,5
176,3,3
177,5,5
178,6,4
179,7,4
180,11,4
181,5,6
182,4,5
183,10,5
184,1,3
185,8,6
186,1,3
187,5,5
188,3,5
189,5,7
190,3,4
191,5,4
192,8,2
193,6,4
194,9,7
195,3,6
196,3,8
197,9,9
198,4,6
199,3,5
200,2,6
201,4,7
202,1,9
203,4,5
204,2,4
205,8,3
206,2,4
207,2,4
208,7,6
209,1,2
210,4,6
211,6,5
212,7,4
213,3,5
214,4,8
215,6,9
216,4,3
217,7,4
218,4,0
219,5,3
220,2,5
221,5,2
222,5,8
223,3,10
224,4,6
225,5,2
226,4,10
227,2,9
228,2,4
229,7,7
230,8,6
231,6,4
232,2,3
233,7,4
234,3,6
235,9,3
236,7,7
237,3,4
238,3,4
239,5,6
240,2,9
241,4,3
242,1,2
243,6,7
244,4,6
245,9,9
246,2,5
247,7,7
248,8,4
249,4,5
250,6,5
251,5,6
252,5,2
253,3,2
254,9,5
255,2,3
256,1,4
257,8,4
258,7,4
259,6,4
260,3,3
261,9,6
262,3,2
263,5,3
264,5,5
265,4,5
266,8,7
267,5,4
268,9,8
269,9,4
270,4,4
271,5,2
272,5,3
273,6,8
274,3,4
275,4,5
276,7,4
277,6,7
278,9,7
279,5,7
280,3,3
281,5,4
282,1,10
283,5,7
284,4,2
285,8,7
286,3,4
287,5,4
288,5,3
289,4,6
290,3,4
291,4,6
292,3,3
293,5,5
294,4,4
295,3,4
296,6,2
297,4,5
298,6,2
299,8,4
300,8,2
301,5,7
302,9,5
303,4,4
304,8,7
305,1,5
306,4,6
307,1,4
308,5,3
309,8,9
310,3,4
311,3,5
312,1,6
313,4,5
314,5,5
315,6,3
316,4,5
317,5,3
318,6,8
319,5,4
320,3,2
321,3,5
322,7,4
323,2,9
324,8,2
325,3,5
326,2,6
327,6,2
328,5,3
329,5,3
330,9,6
331,5,5
332,3,10
333,6,6
334,2,3
335,4,4
336,7,4
337,4,7
338,4,5
339,7,7
340,10,5
341,2,9
342,5,8
343,6,5
344,2,7
345,4,3
346,5,5
347,11,13
348,7,4
349,8,4
350,6,8
351,4,4
352,5,7
353,7,4
354,7,6
355,3,2
356,2,7
357,5,5
358,7,5
359,7,7
360,4,8
361,7,8
362,3,6
363,8,6
364,3,2
365,5,3
366,8,7
367,5,6
368,4,6
369,1,2
370,4,6
371,2,3
372,1,9
373,7,4
374,3,9
375,5,2
376,1,4
377,4,6
378,5,5
379,4,3
380,7,7
381,5,5
382,3,3
383,6,4
384,5,5
385,6,4
386,4,4
387,5,6
388,6,4
389,7,9
390,6,8
391,6,9
392,5,4
393,4,3
394,7,4
395,6,7
396,5,3
397,4,8
398,0,9
399,3,5
400,2,6
401,5,8
402,5,4
403,5,5
404,4,6
405,4,7
406,8,5
407,2,1
408,8,2
409,2,11
410,6,7
411,4,2
412,4,5
413,5,7
414,4,4
415,6,3
416,5,4
417,3,5
418,2,5
419,6,4
420,3,6
421,5,8
422,3,5
423,7,7
424,5,7
425,8,2
426,5,9
427,2,5
428,9,4
429,3,5
430,3,9
431,6,1
432,2,3
433,8,7
434,5,6
435,3,2
436,1,4
437,9,3
438,5,7
439,4,2
440,8,4
441,3,5
442,3,4
443,4,2
444,4,6
445,7,1
446,3,6
447,6,1
448,10,5
449,1,2
450,6,6
451,4,3
