Cliente,Tempo desde a última chegada(minutos),Tempo de chegada no relógio,Tempo de Serviço (minutos),Tempo de atraso,Tempo de inicio do serviço no relógio,Tempo do Cliente na fila(minutos),Tempo final do serviço no relogio,Tempo do cliente no sistema(minutos),Tempo livre do operador(minutos)
0,5,,"3,33865914761341",,,,,,
1,3,,"0,852099556897739",,,,,,
2,6,,"7,91827855342766",,,,,,
3,2,,"11,7817795764831",,,,,,
4,6,,"30,5234475000614",,,,,,
5,5,,"9,14041545710987",,,,,,
6,6,,"1,9036377475442",,,,,,
7,6,,"7,9253979679769",,,,,,
8,4,,"7,15497522259664",,,,,,
9,6,,"2,11288557709777",,,,,,
10,6,,"14,2857057773368",,,,,,
11,5,,"26,8335117246619",,,,,,
12,4,,"12,029462454158",,,,,,
13,7,,"0,436976677870016",,,,,,
14,4,,"1,3194186462315",,,,,,
15,6,,"19,6706855930029",,,,,,
16,3,,"2,43516564604224",,,,,,
17,2,,"5,38723925474411",,,,,,
18,2,,"18,3523353467148",,,,,,
19,3,,"9,1254587344818",,,,,,
20,2,,"5,35358271013194",,,,,,
21,3,,"2,89210927398517",,,,,,
22,2,,"14,9435908300129",,,,,,
23,3,,"5,25092800036315",,,,,,
24,6,,"4,22983294519156",,,,,,
25,3,,"12,7086085161256",,,,,,
26,7,,"1,69705555217907",,,,,,
27,5,,"1,15330536516463",,,,,,
28,6,,"5,87055758823143",,,,,,
29,8,,"3,7975723864678",,,,,,
30,4,,"7,26206104791245",,,,,,
31,4,,"10,9575674689099",,,,,,
32,3,,"7,07467606390306",,,,,,
33,2,,"30,6543920817264",,,,,,
34,6,,"6,5931725512734",,,,,,
35,4,,"3,87947751868511",,,,,,
36,3,,"0,289318781022483",,,,,,
37,6,,"9,31626308720315",,,,,,
38,2,,"12,0952000585151",,,,,,
39,4,,"12,7622013368349",,,,,,
40,6,,"24,952031708801",,,,,,
41,8,,"20,580862868988",,,,,,
42,7,,"2,7708684879323",,,,,,
43,6,,"14,6998989147486",,,,,,
44,7,,"0,025446294051303",,,,,,
45,7,,"20,6378225854527",,,,,,
46,2,,"21,5608793712434",,,,,,
47,3,,"7,65584896127585",,,,,,
48,7,,"12,8377586827086",,,,,,
49,4,,"17,7793851884633",,,,,,
50,7,,"8,10722631771454",,,,,,
51,3,,"17,3172681237832",,,,,,
52,0,,"4,90160432093586",,,,,,
53,4,,"9,52029166310947",,,,,,
54,3,,"3,02160071361874",,,,,,
55,3,,"26,6437101725971",,,,,,
56,2,,"12,2402182518493",,,,,,
57,5,,"4,22971443458961",,,,,,
58,4,,"4,60226492302123",,,,,,
59,5,,"10,1347750355069",,,,,,
60,3,,"9,08835314544498",,,,,,
61,7,,"26,0812182318249",,,,,,
62,2,,"0,725813913364785",,,,,,
63,8,,"39,1508358273305",,,,,,
64,6,,"19,3076966659353",,,,,,
65,7,,"25,8862635072748",,,,,,
66,4,,"12,1393405965723",,,,,,
67,6,,"7,32927558535353",,,,,,
68,9,,"7,86337696432288",,,,,,
69,8,,"3,37123149804762",,,,,,
70,7,,"57,8627209055893",,,,,,
71,6,,"16,8483327533732",,,,,,
72,7,,"11,2532274178983",,,,,,
73,7,,"12,9873962079878",,,,,,
74,6,,"9,67182271152968",,,,,,
75,0,,"20,4405105747654",,,,,,
76,4,,"8,75655929848739",,,,,,
77,4,,"6,56413763364374",,,,,,
78,6,,"0,490570752843743",,,,,,
79,5,,"12,9407786866662",,,,,,
80,6,,"4,03548074252017",,,,,,
81,2,,"10,5097046738445",,,,,,
82,5,,"0,500135975477181",,,,,,
83,4,,"1,2520190831796",,,,,,
84,7,,"47,055511108809",,,,,,
85,4,,"24,7334677145566",,,,,,
86,5,,"1,30183634221369",,,,,,
87,9,,"2,83719461660486",,,,,,
88,4,,"0,216851479326897",,,,,,
89,6,,"0,827149237425943",,,,,,
90,8,,"0,957603202532238",,,,,,
91,10,,"1,13167537838223",,,,,,
92,5,,"1,94462038617676",,,,,,
93,11,,"10,3248125113501",,,,,,
94,1,,"12,3567637039066",,,,,,
95,7,,"1,55372564873953",,,,,,
96,6,,"3,24867550167911",,,,,,
97,10,,"5,48620787447375",,,,,,
98,4,,"3,74047412169415",,,,,,
99,10,,"1,32913252007515",,,,,,
100,5,,"13,3091710960595",,,,,,
101,5,,"26,3979527034597",,,,,,
102,6,,"3,12639133916578",,,,,,
103,5,,"1,17032849293537",,,,,,
104,7,,"2,71912220235867",,,,,,
105,6,,"2,30760525932819",,,,,,
106,5,,"6,16825899859227",,,,,,
107,5,,"10,5572336888279",,,,,,
108,4,,"3,86598320349042",,,,,,
109,6,,"6,97615827666754",,,,,,
110,6,,"24,2658688422691",,,,,,
111,4,,"8,13107217858317",,,,,,
112,6,,"5,73402853214371",,,,,,
113,6,,"5,35183531645499",,,,,,
114,6,,"3,71920600527983",,,,,,
115,1,,"17,9794747585114",,,,,,
116,4,,"7,86844408394008",,,,,,
117,6,,"8,16819903096101",,,,,,
118,6,,"23,6749085901391",,,,,,
119,7,,"1,26533344834321",,,,,,
120,7,,"5,29571772575758",,,,,,
121,4,,"2,106316890962",,,,,,
122,2,,"5,67776699139274",,,,,,
123,2,,"3,19683969580532",,,,,,
124,5,,"1,84495647397302",,,,,,
125,5,,"5,69081296739744",,,,,,
126,7,,"2,59804048188784",,,,,,
127,8,,"12,0589853507154",,,,,,
128,3,,"14,9094828855048",,,,,,
129,2,,"1,19114842969675",,,,,,
130,6,,"3,31427676984359",,,,,,
131,5,,"5,67506659610371",,,,,,
132,7,,"13,3654055305687",,,,,,
133,7,,"8,56116606691568",,,,,,
134,5,,"10,3835229015732",,,,,,
135,6,,"1,64402131504729",,,,,,
136,5,,"2,79892302283101",,,,,,
137,6,,"0,874590230904767",,,,,,
138,5,,"2,52396388434896",,,,,,
139,7,,"10,0297549197301",,,,,,
140,6,,"16,4861737056764",,,,,,
141,5,,"7,66995264152229",,,,,,
