,tec,ts
0,7,5
1,5,4
2,5,4
3,5,3
4,4,5
5,2,5
6,6,4
7,4,6
8,5,1
9,4,3
10,8,6
11,3,5
12,3,5
13,5,7
14,4,4
15,5,7
16,1,6
17,3,7
18,8,3
19,6,5
20,2,3
21,9,4
22,7,2
23,2,2
24,7,8
25,5,5
26,5,4
27,5,4
28,3,6
29,4,6
30,2,3
31,2,5
32,6,4
33,6,4
34,8,2
35,4,4
36,6,4
37,6,6
38,4,8
39,6,1
40,2,7
41,5,6
42,2,5
43,7,2
44,6,7
45,6,4
46,6,6
47,8,5
48,6,3
49,7,6
50,5,5
51,6,6
52,5,3
53,6,8
54,9,6
55,3,9
56,5,3
57,8,7
58,8,6
59,9,3
60,4,4
61,4,3
62,3,6
63,4,5
64,4,5
65,5,5
66,1,5
67,2,6
68,2,5
69,3,6
70,2,5
71,6,3
72,5,6
73,6,2
74,7,4
75,9,5
76,5,7
77,2,2
78,8,5
79,5,5
80,7,7
81,5,5
82,7,5
83,3,7
84,3,3
85,3,2
86,6,7
87,4,7
88,4,7
89,5,3
90,7,4
91,2,8
92,4,6
93,4,3
94,4,4
95,5,7
96,6,4
97,9,7
98,8,3
99,4,8
100,6,3
101,5,5
102,5,5
103,5,5
104,3,5
105,5,9
106,3,5
107,7,4
108,2,8
109,1,4
110,4,5
111,3,6
112,4,8
113,5,6
114,4,2
115,3,2
116,8,7
117,3,4
118,3,7
119,4,3
120,8,6
121,8,7
122,8,5
123,7,3
124,3,4
125,5,2
126,4,4
127,5,5
128,7,5
129,5,7
130,3,1
131,8,6
132,2,4
133,4,5
134,4,6
135,5,7
136,8,4
137,3,6
138,7,5
139,5,7
140,4,8
141,6,2
142,2,6
143,0,5
144,10,7
145,6,4
146,4,7
147,5,6
148,1,3
149,7,4
150,6,5
151,2,6
152,5,4
153,5,1
154,12,4
155,3,2
156,3,6
157,2,2
158,3,3
159,10,1
160,6,9
161,5,4
162,6,7
163,3,1
164,2,7
165,2,3
166,4,6
167,3,7
168,8,3
169,5,5
170,5,3
171,5,4
172,11,4
173,3,3
174,2,4
175,4,5
176,4,4
177,4,6
178,2,6
179,7,6
180,5,8
181,5,3
182,5,3
183,4,6
184,4,5
185,9,5
186,2,2
187,6,4
188,6,5
189,4,3
190,6,5
191,6,7
192,5,4
193,4,5
194,2,4
195,6,7
196,4,6
197,7,5
198,6,9
199,5,5
200,2,5
201,3,5
202,5,2
203,4,1
204,7,6
205,8,5
206,3,8
207,5,5
208,3,2
209,6,9
210,6,5
211,5,3
212,6,7
213,4,8
214,6,1
215,3,3
216,7,5
217,5,2
218,11,7
219,2,3
220,3,4
221,3,2
222,8,2
223,8,9
224,7,4
225,4,3
226,5,11
227,4,2
228,4,8
229,2,4
230,4,4
231,4,4
232,8,6
233,4,3
234,3,6
235,4,3
236,4,2
237,1,6
238,1,7
239,1,7
240,2,5
241,6,3
242,6,6
243,3,6
244,6,5
245,7,4
246,3,2
247,1,2
248,5,9
249,3,8
250,9,6
251,8,6
252,1,4
253,4,7
254,6,5
255,8,4
256,4,4
257,6,6
258,9,3
259,6,5
260,9,2
261,6,4
262,6,5
263,5,3
264,6,7
265,8,9
266,7,3
267,4,3
268,3,11
269,3,2
270,2,5
271,4,5
272,10,3
273,7,2
274,5,6
275,8,5
276,4,11
277,4,3
278,3,0
279,6,6
280,4,4
281,11,6
282,7,8
283,2,5
284,3,5
285,3,7
286,3,4
287,7,4
288,2,6
289,1,8
290,1,6
291,7,0
292,6,3
293,3,4
294,5,4
295,4,5
296,3,3
297,7,5
298,6,6
299,1,10
300,6,3
301,4,5
302,2,6
