Cliente,Tempo desde a última chegada(minutos),Tempo de chegada no relógio,Tempo de Serviço (minutos),Tempo de atraso,Tempo de inicio do serviço no relógio,Tempo do Cliente na fila(minutos),Tempo final do serviço no relogio,Tempo do cliente no sistema(minutos),Tempo livre do operador(minutos)
0,8,,"11,2921964767796",,,,,,
1,1,,"10,8830616718487",,,,,,
2,0,,"10,2327711584256",,,,,,
3,3,,"12,1532349843115",,,,,,
4,4,,"12,5139360975873",,,,,,
5,6,,"9,31668876220174",,,,,,
6,7,,"10,5152705941756",,,,,,
7,5,,"9,22654975227965",,,,,,
8,7,,"11,2909492144119",,,,,,
9,6,,"12,1760088315373",,,,,,
10,6,,"12,1554964620869",,,,,,
11,3,,"10,061448133785",,,,,,
12,7,,"10,9555670853533",,,,,,
13,3,,"9,18645436570374",,,,,,
14,6,,"10,7524771855707",,,,,,
15,10,,"10,2204080498003",,,,,,
16,7,,"11,5218825010873",,,,,,
17,9,,"11,167813444013",,,,,,
18,1,,"10,9741669032722",,,,,,
19,6,,"11,7101506568308",,,,,,
20,4,,"10,5632654085395",,,,,,
21,6,,"11,3458597714733",,,,,,
22,5,,"10,7782535006486",,,,,,
23,3,,"11,6746412964899",,,,,,
24,7,,"11,9896836114857",,,,,,
25,6,,"10,9316247509579",,,,,,
26,9,,"9,56240863394184",,,,,,
27,5,,"11,0407014215856",,,,,,
28,5,,"12,0755205443575",,,,,,
29,5,,"12,1765031177178",,,,,,
30,6,,"10,7232409823983",,,,,,
31,7,,"10,7194291493177",,,,,,
32,8,,"11,1602618861425",,,,,,
33,8,,"11,8737495769389",,,,,,
34,4,,"10,8736171843845",,,,,,
35,6,,"11,268770714117",,,,,,
36,7,,"11,2097866688898",,,,,,
37,4,,"11,4116605785678",,,,,,
38,2,,"10,3029620745037",,,,,,
39,1,,"9,46050221471644",,,,,,
40,5,,"12,1012481897883",,,,,,
41,8,,"11,3895243335286",,,,,,
42,7,,"9,40415154297964",,,,,,
43,5,,"10,7046980068259",,,,,,
44,9,,"11,7159958305304",,,,,,
45,3,,"10,159188548031",,,,,,
46,2,,"11,3874554620363",,,,,,
47,4,,"12,4802507030862",,,,,,
48,3,,"10,4370970862024",,,,,,
49,5,,"11,6354033505702",,,,,,
50,5,,"11,1700689483371",,,,,,
51,4,,"10,6002381701289",,,,,,
52,2,,"10,6869304661109",,,,,,
53,4,,"10,259939132542",,,,,,
54,5,,"11,9606788300057",,,,,,
55,6,,"10,120028079509",,,,,,
56,4,,"11,8795430409484",,,,,,
57,6,,"10,4751476962773",,,,,,
58,4,,"11,898960763939",,,,,,
59,6,,"9,4722552981321",,,,,,
60,4,,"10,9081185446484",,,,,,
61,5,,"10,3370636056383",,,,,,
62,3,,"12,7406245505336",,,,,,
63,5,,"10,4042987736595",,,,,,
64,2,,"11,599349101629",,,,,,
65,5,,"9,62256739763151",,,,,,
66,5,,"10,9284488955387",,,,,,
67,7,,"11,8330710146091",,,,,,
